code	alias	desc
1000	_State	System status 90
1001	_PartNo	Part number of the Xemo controller 90
1002	_EcLevel	Engineering level of the Xemo controller 90
1003	_SerialNo	Serial number of the Xemo controller 90
1004	_Version	Software - number of the operating system 91
1005	_Release	Release number of the operating system 91
1006	_ComRelease	Downwards compatibility limit 91
1007	_Extent	Expansion level of the Xemo controller 91
1008	_Clock	Present status of the system timer 91
1010	_ErrNo	Runtime error 91
1011	_ErrState	Present error status 92
1012	_ErrLine	Line number in the source code at which the error occurred
1013	_ErrAxis	Number of the axis affected by the error 92
1014	_ErrParam	Number of the parameter which caused the error
1015	_SubError	Additional information about the error 93
1017	_EnaOptCode	Influence the behaviour of the axis release 93
1021	_FIFOSize	Size of the online FIFO 93
1022	_FIFOLevel	Fill level of the online FIFO 93
1023	_FIFOLeft	Free memory in the FIFO 94
1024	_FIFOMarker	Setting of the upper FIFO mark 94
1025	_FIFOLow	Setting of the lower FIFO mark 94
1030	_Mode1	Baud rate and mode of the 1. serial interface 94
1033	_ModeUsb	Release USB interface for HPGL or G-code 95
1034	_CanMode	Set CAN baud rate channel 1 96
1035	_OtSelect	Register OTxxx control panel 96
1036	_	Can2Mode Set CAN baud rate channel 2 96
1038	_Can1Device	Register first CANopen device for I/O expansion 97
1039	_Can2Device	Register second CANopen device for I/O expansion
1040	_IpGroup	Coordinate system for trajectory control 97
1041	_H1Trans	Define H-portal 1 97
1042	_H2Trans	Define H-portal 2 98
1043	_IpSyncClk	Manipulation of the CANopen synchronization pulse for external power electronics (controller)
1050	_BkPwmCycle	Cyclic time of the PWM 98
1051	_BkPwmDuty	Input/Break ratio of the PWM 98
1060	_AnlIn	Analog input Xemo-Step / analog input 0 98
1061	_AnlOut	Analog value display (option) 99
1062	_OvrIn	Analog input of the override-poti 99
1063	_JoyX	Analog input of the X axis joystick
1064	_JoyY	Analog input of the Y axis joystick 99
1070	_HandWheel	Present position of the handwheel 99
1071	_Encoder	Present position at the incremental encoder input
1072	_EncIdx	Index position at the incremental encoder input 100
1073	_EncIpr	Impulse per revolution for index monitoring 100
1075	_Ovride	Write over the present velocity 100
1076	_Omode	Override mode 100
1077	_OvScale	Scaling the override-poti 101
1080	_SanlIn0	Analog input 0 (option) 101
1081	_SanlIn1	Analog input 1 (option) 101
1082	_SanlIn2	Analog input 2 (option) 101
1090	_VoMode	Velocity-dependent analog value issue 101
1091	_VoScale	Scaling of the velocity dependence 102
1092	_VoOffs	Offset for analog output voltage 102
1093	_VoMax	Upper limit for analog output voltage 102
1094	_VoMin	Lower limit for analog output voltage 102
1100	_AnlFSel	Selection of an analog input for filter programming 102
1101	_AFType	Selection of the filter type for an analog input 102
1102	_AFSTime	Filter sampling interval for analog input 102
